,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
101,101,[0],100.0,Inner+r=100+d=PixACNa2Qdk+uid=oLuC8BKG95EgGqoHmUVC1,0,Inner+r=100+d=PixACNa2Qdk+uid=oLuC8BKG95EgGqoHmUVC1
189,189,[101],144.0,Inner+r=144+d=P7eNIrTnVaE+uid=C5VZJQ0J36bIdOJj-0NFYi,101,Inner+r=144+d=P7eNIrTnVaE+uid=C5VZJQ0J36bIdOJj-0NFYi
197,197,[189],147.0,Inner+r=147+d=OERv1etmo5S+uid=sNUobsVCnjZz9cX0eOaVM,189,Inner+r=147+d=OERv1etmo5S+uid=sNUobsVCnjZz9cX0eOaVM
206,206,[189],149.0,Inner+r=149+d=PZhYazy5j0e+uid=fMnp0hrBZ3AI0Wp2ARUMv,189,Inner+r=149+d=PZhYazy5j0e+uid=fMnp0hrBZ3AI0Wp2ARUMv
210,210,[206],150.0,Inner+r=150+d=KZcBNrySVaI+uid=C6D_C36hdMTlEuK-omFOfn,206,Inner+r=150+d=KZcBNrySVaI+uid=C6D_C36hdMTlEuK-omFOfn
458,458,[101],192.0,Inner+r=192+d=P7fDFfC5QW9+uid=tdcJdAeoGOXxqR6c7yJlr,101,Inner+r=192+d=P7fDFfC5QW9+uid=tdcJdAeoGOXxqR6c7yJlr
474,474,[197],194.0,Inner+r=194+d=MJETb4Ln5uR+uid=Ce5e_88w-CYmLIlICGGZO,197,Inner+r=194+d=MJETb4Ln5uR+uid=Ce5e_88w-CYmLIlICGGZO
489,489,[474],196.0,Inner+r=196+d=OCUSalPVSic+uid=DxOgiZj9mUnL86pQphJ1Px,474,Inner+r=196+d=OCUSalPVSic+uid=DxOgiZj9mUnL86pQphJ1Px
491,491,[210],196.0,Inner+r=196+d=L0nJXFT1uXG+uid=Dwi1ZSisMrvWlT6eiGj4FU,210,Inner+r=196+d=L0nJXFT1uXG+uid=Dwi1ZSisMrvWlT6eiGj4FU
494,494,[458],197.0,Inner+r=197+d=P-pRBYKFqDJ+uid=C2fRU9OZ2rPPTfyaV6lGYC,458,Inner+r=197+d=P-pRBYKFqDJ+uid=C2fRU9OZ2rPPTfyaV6lGYC
495,495,[458],197.0,Inner+r=197+d=P-yn_aR_uop+uid=BtP61MQCcFRifhJaQtIGra,458,Inner+r=197+d=P-yn_aR_uop+uid=BtP61MQCcFRifhJaQtIGra
496,496,[197],197.0,Inner+r=197+d=LctGfpx_OG_+uid=C8N38TUC5QVkLRXNO7jBQJ,197,Inner+r=197+d=LctGfpx_OG_+uid=C8N38TUC5QVkLRXNO7jBQJ
497,497,[489],197.0,Inner+r=197+d=NcS2W5Fk0q1+uid=HxhRIdaOuGBnkg5Ph__jT,489,Inner+r=197+d=NcS2W5Fk0q1+uid=HxhRIdaOuGBnkg5Ph__jT
505,505,[494],198.0,Inner+r=198+d=ObEdN06-Ik9+uid=CcfUmKj3bch1ZCdANpiPZo,494,Inner+r=198+d=ObEdN06-Ik9+uid=CcfUmKj3bch1ZCdANpiPZo
506,506,[494],198.0,Inner+r=198+d=MS_5HemHgMP+uid=BeYnnb4J7dWqUxn0eC_jpK,494,Inner+r=198+d=MS_5HemHgMP+uid=BeYnnb4J7dWqUxn0eC_jpK
510,510,[495],198.0,Inner+r=198+d=Ln_LywmaCQc+uid=C4N42CkcvjhvESz9A3tdus,495,Inner+r=198+d=Ln_LywmaCQc+uid=C4N42CkcvjhvESz9A3tdus
513,513,[495],198.0,Inner+r=198+d=PaAtzUQFCNn+uid=CSSEGUrvQlnLsrksPIeGj6,495,Inner+r=198+d=PaAtzUQFCNn+uid=CSSEGUrvQlnLsrksPIeGj6
515,515,[496],198.0,Inner+r=198+d=PDx5VKagQuy+uid=BhU69xy2kVwUKjBdUhSABG,496,Inner+r=198+d=PDx5VKagQuy+uid=BhU69xy2kVwUKjBdUhSABG
520,520,[474],198.0,Inner+r=198+d=IRUwxC5RXBD+uid=CfLcYtzuvVwu1y8BE-w6--,474,Inner+r=198+d=IRUwxC5RXBD+uid=CfLcYtzuvVwu1y8BE-w6--
525,525,[206],198.0,Inner+r=198+d=HtMLQrW79w7+uid=93ZhZeHXnP5lYgPteIJCA,206,Inner+r=198+d=HtMLQrW79w7+uid=93ZhZeHXnP5lYgPteIJCA
537,537,[495],199.0,Inner+r=199+d=PhrFkpHhUYp+uid=XJJJf-zFNoIYwQ9cKa-Js,495,Inner+r=199+d=PhrFkpHhUYp+uid=XJJJf-zFNoIYwQ9cKa-Js
543,543,[515],199.0,Inner+r=199+d=ODFc22NnsQK+uid=Ctg8P72xmgux38oQzOkkTL,515,Inner+r=199+d=ODFc22NnsQK+uid=Ctg8P72xmgux38oQzOkkTL
551,551,[491],199.0,Inner+r=199+d=JgS8Pr6vRMJ+uid=hhYZkTUn_znPYf9dOyVIc,491,Inner+r=199+d=JgS8Pr6vRMJ+uid=hhYZkTUn_znPYf9dOyVIc
554,554,[210],199.0,Inner+r=199+d=Pn0kTsCm5S7+uid=BHRzyR0SGVDX7SJO0zYlke,210,Inner+r=199+d=Pn0kTsCm5S7+uid=BHRzyR0SGVDX7SJO0zYlke
555,555,[525],199.0,Inner+r=199+d=L96mQQwcJYF+uid=DCSF6qmxFDMi0Yvi9WoQ2b,525,Inner+r=199+d=L96mQQwcJYF+uid=DCSF6qmxFDMi0Yvi9WoQ2b
559,559,[505],200.0,Inner+r=200+d=KI54VFDSZTY+uid=Da5yCyzwP9Idx6S-7KhOvK,505,Inner+r=200+d=KI54VFDSZTY+uid=Da5yCyzwP9Idx6S-7KhOvK
561,561,[506],200.0,Inner+r=200+d=JlaSea28A7-+uid=BMeMerT9JCBjQvIrriDOpK,506,Inner+r=200+d=JlaSea28A7-+uid=BMeMerT9JCBjQvIrriDOpK
562,562,[506],200.0,Inner+r=200+d=Nfs88MvBmoS+uid=BwKTgVU1HSwej7RrUqLVUf,506,Inner+r=200+d=Nfs88MvBmoS+uid=BwKTgVU1HSwej7RrUqLVUf
563,563,[494],200.0,Inner+r=200+d=O5RylF0sEVl+uid=9sYoo7J9vv9nZMg5x7156,494,Inner+r=200+d=O5RylF0sEVl+uid=9sYoo7J9vv9nZMg5x7156
564,564,[494],200.0,Inner+r=200+d=HwsLh7TQWUR+uid=GLrySzruJiudtte8brwLP,494,Inner+r=200+d=HwsLh7TQWUR+uid=GLrySzruJiudtte8brwLP
565,565,[494],200.0,Inner+r=200+d=FixQ0VDm5AK+uid=ft_YoADdcDVLdNNaHRNPA,494,Inner+r=200+d=FixQ0VDm5AK+uid=ft_YoADdcDVLdNNaHRNPA
566,566,[510],200.0,Inner+r=200+d=FbdpfV6qA1l+uid=CjEKhJt5dbKGTDcc-uf7oR,510,Inner+r=200+d=FbdpfV6qA1l+uid=CjEKhJt5dbKGTDcc-uf7oR
567,567,[510],200.0,Inner+r=200+d=FaJFzWtkrgy+uid=zUILcitbBxCX-OhhI53K6,510,Inner+r=200+d=FaJFzWtkrgy+uid=zUILcitbBxCX-OhhI53K6
568,568,[510],200.0,Inner+r=200+d=KI54VFDSZTY+uid=CmPgwy-TiXsLlswnrC1TL6,510,Inner+r=200+d=KI54VFDSZTY+uid=CmPgwy-TiXsLlswnrC1TL6
569,569,[537],200.0,Inner+r=200+d=Nfs88MvBmoS+uid=Z3i3toOIARUFTu8fO1Waf,537,Inner+r=200+d=Nfs88MvBmoS+uid=Z3i3toOIARUFTu8fO1Waf
570,570,[537],200.0,Inner+r=200+d=FbdpfV6qA1l+uid=BuZxaYHoMFljZGn6v1nNEA,537,Inner+r=200+d=FbdpfV6qA1l+uid=BuZxaYHoMFljZGn6v1nNEA
571,571,[495],200.0,Inner+r=200+d=ORwTbSQKz4o+uid=CHQs7SMJlE4vW1uTQBBrsF,495,Inner+r=200+d=ORwTbSQKz4o+uid=CHQs7SMJlE4vW1uTQBBrsF
572,572,[513],200.0,Inner+r=200+d=KZD_nLlLiPc+uid=COkD_ZNDO2DGHkBqZgp6e3,513,Inner+r=200+d=KZD_nLlLiPc+uid=COkD_ZNDO2DGHkBqZgp6e3
573,573,[513],200.0,Inner+r=200+d=KZD_nLlLiPc+uid=y6cBpgs5J3rp3JaPUVPNt,513,Inner+r=200+d=KZD_nLlLiPc+uid=y6cBpgs5J3rp3JaPUVPNt
576,576,[543],200.0,Inner+r=200+d=FLFiyIX-pW-+uid=DXZRlPbMGurxgUNyJNwjKm,543,Inner+r=200+d=FLFiyIX-pW-+uid=DXZRlPbMGurxgUNyJNwjKm
577,577,[543],200.0,Inner+r=200+d=EdP8RxJBGpO+uid=DYEMP2uCliqI8Db77875IV,543,Inner+r=200+d=EdP8RxJBGpO+uid=DYEMP2uCliqI8Db77875IV
578,578,[515],200.0,Inner+r=200+d=FruHXqVsmJZ+uid=C-QPOOSpRVVP27N7jU5NsD,515,Inner+r=200+d=FruHXqVsmJZ+uid=C-QPOOSpRVVP27N7jU5NsD
579,579,[496],200.0,Inner+r=200+d=EdP8RxJBGpO+uid=hNY7mGszUB3sszheVijhV,496,Inner+r=200+d=EdP8RxJBGpO+uid=hNY7mGszUB3sszheVijhV
580,580,[497],200.0,Inner+r=200+d=L6maMCLqtpP+uid=B2RNOMmxRXNWf4YoZoju2P,497,Inner+r=200+d=L6maMCLqtpP+uid=B2RNOMmxRXNWf4YoZoju2P
581,581,[497],200.0,Inner+r=200+d=JtyiwCpTKRi+uid=CHyy0RI7suOpZfRxIccrph,497,Inner+r=200+d=JtyiwCpTKRi+uid=CHyy0RI7suOpZfRxIccrph
584,584,[520],200.0,Inner+r=200+d=L6maMCLqtpP+uid=CcEb7WoorYzDzxfr2zAWmS,520,Inner+r=200+d=L6maMCLqtpP+uid=CcEb7WoorYzDzxfr2zAWmS
585,585,[551],200.0,Inner+r=200+d=M4fHMYiLChw+uid=j7HWXlhWjLnG1_1WBngOH,551,Inner+r=200+d=M4fHMYiLChw+uid=j7HWXlhWjLnG1_1WBngOH
