,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
193,193,[0],192.0,Inner+r=192+d=P4z36s-YKrn+uid=tdcJdAeoGOXxqR6c7yJlr,0,Inner+r=192+d=P4z36s-YKrn+uid=tdcJdAeoGOXxqR6c7yJlr
194,194,[193],193.0,Inner+r=193+d=P-sSZLDdUWF+uid=Dknfa7gDr1BlE2v2KHWP9N,193,Inner+r=193+d=P-sSZLDdUWF+uid=Dknfa7gDr1BlE2v2KHWP9N
197,197,[194],194.0,Inner+r=194+d=O2rYyir5s3J+uid=DuG4zEcDWKJ-uhqdOmGlnj,194,Inner+r=194+d=O2rYyir5s3J+uid=DuG4zEcDWKJ-uhqdOmGlnj
198,198,[194],194.0,Inner+r=194+d=Ot09IJwnNTP+uid=O473LYl1N0twU-CcIwOSi,194,Inner+r=194+d=Ot09IJwnNTP+uid=O473LYl1N0twU-CcIwOSi
199,199,[193],194.0,Inner+r=194+d=O2rYyir5s3J+uid=DK3_kYxBpm2YL6TXoo0uCO,193,Inner+r=194+d=O2rYyir5s3J+uid=DK3_kYxBpm2YL6TXoo0uCO
200,200,[193],194.0,Inner+r=194+d=O2rYyir5s3J+uid=Cl8DWmv-VbMatAyfQuTIH,193,Inner+r=194+d=O2rYyir5s3J+uid=Cl8DWmv-VbMatAyfQuTIH
202,202,[197],195.0,Inner+r=195+d=PiWViVj1H_Z+uid=D-iyt5utp5R4tSMO0qMDY7,197,Inner+r=195+d=PiWViVj1H_Z+uid=D-iyt5utp5R4tSMO0qMDY7
203,203,[197],195.0,Inner+r=195+d=Pyx2VKqA4A3+uid=B861-06Kyr_59VxfwgVyrr,197,Inner+r=195+d=Pyx2VKqA4A3+uid=B861-06Kyr_59VxfwgVyrr
209,209,[200],195.0,Inner+r=195+d=Pyx2VKqA4A3+uid=RjMQ-ROG4VlV9cozi0o2o,200,Inner+r=195+d=Pyx2VKqA4A3+uid=RjMQ-ROG4VlV9cozi0o2o
210,210,[197],196.0,Inner+r=196+d=P9XJyZ_A2Sg+uid=Cv2-nSfr0OBVAfxvQ9Bh95,197,Inner+r=196+d=P9XJyZ_A2Sg+uid=Cv2-nSfr0OBVAfxvQ9Bh95
212,212,[202],196.0,Inner+r=196+d=PNY6lZxPpsw+uid=CU2M1HcY47r5RC82L5Gcsy,202,Inner+r=196+d=PNY6lZxPpsw+uid=CU2M1HcY47r5RC82L5Gcsy
214,214,[203],196.0,Inner+r=196+d=P9XJyZ_A2Sg+uid=BuZxaYHoMFljZGn6v1nNEA,203,Inner+r=196+d=P9XJyZ_A2Sg+uid=BuZxaYHoMFljZGn6v1nNEA
225,225,[210],197.0,Inner+r=197+d=OlnAACm43LC+uid=C2fRU9OZ2rPPTfyaV6lGYC,210,Inner+r=197+d=OlnAACm43LC+uid=C2fRU9OZ2rPPTfyaV6lGYC
