,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
135,135,[0],134.0,Inner+r=134+d=P7TtlvJPPzR+uid=D29iwo6SfbSG9i5joaU1a1,0,Inner+r=134+d=P7TtlvJPPzR+uid=D29iwo6SfbSG9i5joaU1a1
144,144,[135],139.0,Inner+r=139+d=OpYnMXdTuFZ+uid=DJb6dYArCH-Ab6rbEKJIz_,135,Inner+r=139+d=OpYnMXdTuFZ+uid=DJb6dYArCH-Ab6rbEKJIz_
196,196,[135],156.0,Inner+r=156+d=P6Lk8kgB83v+uid=BlsYT3btPzC-dG6-vNfoCi,135,Inner+r=156+d=P6Lk8kgB83v+uid=BlsYT3btPzC-dG6-vNfoCi
243,243,[196],168.0,Inner+r=168+d=Pn1CcmM31g_+uid=DB5kFalfLuVU-mlhFF8h6U,196,Inner+r=168+d=Pn1CcmM31g_+uid=DB5kFalfLuVU-mlhFF8h6U
262,262,[243],172.0,Inner+r=172+d=PPX5IUK3ThY+uid=fLkkM2w8BJmuC7Vx9pa1S,243,Inner+r=172+d=PPX5IUK3ThY+uid=fLkkM2w8BJmuC7Vx9pa1S
281,281,[243],175.0,Inner+r=175+d=PnE3beCk1K7+uid=RGAzZQv6cqTRP7-EbYEM2,243,Inner+r=175+d=PnE3beCk1K7+uid=RGAzZQv6cqTRP7-EbYEM2
292,292,[262],177.0,Inner+r=177+d=P2IDgV9wmoV+uid=CshZ-P9waoMkvhskiLl-9F,262,Inner+r=177+d=P2IDgV9wmoV+uid=CshZ-P9waoMkvhskiLl-9F
367,367,[281],185.0,Inner+r=185+d=PycmOYB0ecl+uid=DwZd9KQgcVimm0jA7_awRG,281,Inner+r=185+d=PycmOYB0ecl+uid=DwZd9KQgcVimm0jA7_awRG
392,392,[292],188.0,Inner+r=188+d=OIbgTZSYIfu+uid=BHuWO0OXmCh744kV8VphSG,292,Inner+r=188+d=OIbgTZSYIfu+uid=BHuWO0OXmCh744kV8VphSG
395,395,[281],188.0,Inner+r=188+d=OZaw-2k2ZFa+uid=BoRX5BQa3-Z_nu-Nv_h2kY,281,Inner+r=188+d=OZaw-2k2ZFa+uid=BoRX5BQa3-Z_nu-Nv_h2kY
418,418,[395],190.0,Inner+r=190+d=P2qo_EARNjg+uid=DgRj-fg6gaTmF2o8rFNILs,395,Inner+r=190+d=P2qo_EARNjg+uid=DgRj-fg6gaTmF2o8rFNILs
455,455,[262],193.0,Inner+r=193+d=N6qEL5R-2PT+uid=Ci8c_JiOFUqsVF_4hRfW79,262,Inner+r=193+d=N6qEL5R-2PT+uid=Ci8c_JiOFUqsVF_4hRfW79
491,491,[144],196.0,Inner+r=196+d=O3x8P1uLDqA+uid=CGFD4Uctg3r9CO9WKnDyaP,144,Inner+r=196+d=O3x8P1uLDqA+uid=CGFD4Uctg3r9CO9WKnDyaP
495,495,[292],196.0,Inner+r=196+d=OTJpr_6-PCj+uid=CHyy0RI7suOpZfRxIccrph,292,Inner+r=196+d=OTJpr_6-PCj+uid=CHyy0RI7suOpZfRxIccrph
497,497,[455],196.0,Inner+r=196+d=NNBEffh1bQR+uid=D0L-G0Jib7kgNyppt3vzYv,455,Inner+r=196+d=NNBEffh1bQR+uid=D0L-G0Jib7kgNyppt3vzYv
498,498,[418],196.0,Inner+r=196+d=PngZNkgiM0g+uid=CKcBA_AWjpaaRfQZyw-0vI,418,Inner+r=196+d=PngZNkgiM0g+uid=CKcBA_AWjpaaRfQZyw-0vI
507,507,[292],197.0,Inner+r=197+d=P_XL-_vnhhx+uid=D4ZmjBbQXIGJRQCFtjoCml,292,Inner+r=197+d=P_XL-_vnhhx+uid=D4ZmjBbQXIGJRQCFtjoCml
