,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
137,137,[0],136.0,Inner+r=136+d=P4HZ93mhA-M+uid=CM2oCjS0UhI9F_ZJTowtIZ,0,Inner+r=136+d=P4HZ93mhA-M+uid=CM2oCjS0UhI9F_ZJTowtIZ
140,140,[137],138.0,Inner+r=138+d=PVaJ7Z49ZJx+uid=BRQjKGpuzDHzUmO0UZohBc,137,Inner+r=138+d=PVaJ7Z49ZJx+uid=BRQjKGpuzDHzUmO0UZohBc
169,169,[140],148.0,Inner+r=148+d=Pqd8UhiginL+uid=1NMyuiqZyNS7nr5dCU3W-,140,Inner+r=148+d=Pqd8UhiginL+uid=1NMyuiqZyNS7nr5dCU3W-
207,207,[137],157.0,Inner+r=157+d=P8vwhnGM1cy+uid=CPMySDv-REDmD8R_o_ixuq,137,Inner+r=157+d=P8vwhnGM1cy+uid=CPMySDv-REDmD8R_o_ixuq
222,222,[207],160.0,Inner+r=160+d=Py6krrC9n_5+uid=Bw0H66tztgYuTUrYYjWmPV,207,Inner+r=160+d=Py6krrC9n_5+uid=Bw0H66tztgYuTUrYYjWmPV
314,314,[169],176.0,Inner+r=176+d=Phgrd-FXl2V+uid=CyLMNHTKJ7QfXkxLswlCVA,169,Inner+r=176+d=Phgrd-FXl2V+uid=CyLMNHTKJ7QfXkxLswlCVA
348,348,[314],181.0,Inner+r=181+d=Lu82YHnnPpu+uid=BIUl6KjScH1_5pIZmSbIJk,314,Inner+r=181+d=Lu82YHnnPpu+uid=BIUl6KjScH1_5pIZmSbIJk
376,376,[222],184.0,Inner+r=184+d=Ph9JU96RmZn+uid=DTAFYw4UmoNyj6NhpmYbh3,222,Inner+r=184+d=Ph9JU96RmZn+uid=DTAFYw4UmoNyj6NhpmYbh3
393,393,[376],186.0,Inner+r=186+d=P42sGpNtmbA+uid=BjJD5TA-LnxAfMBCTp5u18,376,Inner+r=186+d=P42sGpNtmbA+uid=BjJD5TA-LnxAfMBCTp5u18
436,436,[169],191.0,Inner+r=191+d=PnV-R5z1bSQ+uid=W2OgOnMkw0ywTnBlmrVH9,169,Inner+r=191+d=PnV-R5z1bSQ+uid=W2OgOnMkw0ywTnBlmrVH9
441,441,[207],191.0,Inner+r=191+d=PoU6JWgAePt+uid=CttVVWAOajBYa0bwFcAxUc,207,Inner+r=191+d=PoU6JWgAePt+uid=CttVVWAOajBYa0bwFcAxUc
461,461,[348],193.0,Inner+r=193+d=PCge-5rAr-E+uid=DEcxxG2SWUls0N-0vXcm0A,348,Inner+r=193+d=PCge-5rAr-E+uid=DEcxxG2SWUls0N-0vXcm0A
465,465,[441],193.0,Inner+r=193+d=POyUlIPDVw9+uid=CvXkkL37qq-mlAd2y1QMzk,441,Inner+r=193+d=POyUlIPDVw9+uid=CvXkkL37qq-mlAd2y1QMzk
475,475,[314],194.0,Inner+r=194+d=P3ljFLhorhv+uid=DtX0DQmy1TfSA6-jrX5C9q,314,Inner+r=194+d=P3ljFLhorhv+uid=DtX0DQmy1TfSA6-jrX5C9q
483,483,[222],194.0,Inner+r=194+d=O862tFQO3P4+uid=B_rp1ANuLwTn3Hki5EXd0l,222,Inner+r=194+d=O862tFQO3P4+uid=B_rp1ANuLwTn3Hki5EXd0l
504,504,[461],196.0,Inner+r=196+d=NDppJMrf1R3+uid=BewcPR7vuYqUasDO5sGn3c,461,Inner+r=196+d=NDppJMrf1R3+uid=BewcPR7vuYqUasDO5sGn3c
