,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
101,101,[0],100.0,Inner+r=100+d=PqvEZIGkZSc+uid=oLuC8BKG95EgGqoHmUVC1,0,Inner+r=100+d=PqvEZIGkZSc+uid=oLuC8BKG95EgGqoHmUVC1
189,189,[101],144.0,Inner+r=144+d=P5Xk-_TUOSF+uid=D8geRC9TwkRQvq1X-kJED,101,Inner+r=144+d=P5Xk-_TUOSF+uid=D8geRC9TwkRQvq1X-kJED
197,197,[189],147.0,Inner+r=147+d=PiEZtTaPr0N+uid=yJXjr6zkdBkmG86aUi4Kx,189,Inner+r=147+d=PiEZtTaPr0N+uid=yJXjr6zkdBkmG86aUi4Kx
204,204,[197],149.0,Inner+r=149+d=PaVRx8O565o+uid=DLMg24JvteVqVjKhXCMQXZ,197,Inner+r=149+d=PaVRx8O565o+uid=DLMg24JvteVqVjKhXCMQXZ
208,208,[204],150.0,Inner+r=150+d=PDZiauxWIIE+uid=BjJD5TA-LnxAfMBCTp5u18,204,Inner+r=150+d=PDZiauxWIIE+uid=BjJD5TA-LnxAfMBCTp5u18
452,452,[101],191.0,Inner+r=191+d=PuCM_koIAzv+uid=W2OgOnMkw0ywTnBlmrVH9,101,Inner+r=191+d=PuCM_koIAzv+uid=W2OgOnMkw0ywTnBlmrVH9
475,475,[208],194.0,Inner+r=194+d=Lpnwmh-xZEf+uid=CfLcYtzuvVwu1y8BE-w6--,208,Inner+r=194+d=Lpnwmh-xZEf+uid=CfLcYtzuvVwu1y8BE-w6--
479,479,[452],195.0,Inner+r=195+d=PTlGTLq_HES+uid=5yXqxuz54D6OcxLKvv1MQ,452,Inner+r=195+d=PTlGTLq_HES+uid=5yXqxuz54D6OcxLKvv1MQ
481,481,[208],195.0,Inner+r=195+d=Lt-9LZNhP6m+uid=DYEMP2uCliqI8Db77875IV,208,Inner+r=195+d=Lt-9LZNhP6m+uid=DYEMP2uCliqI8Db77875IV
484,484,[204],195.0,Inner+r=195+d=L8sWDZXK3DF+uid=CUUAECzTxAmxIJphQyThDm,204,Inner+r=195+d=L8sWDZXK3DF+uid=CUUAECzTxAmxIJphQyThDm
485,485,[197],195.0,Inner+r=195+d=MyuWX1NSxkB+uid=CdYbaovxwa0Cz0MYpuHuv,197,Inner+r=195+d=MyuWX1NSxkB+uid=CdYbaovxwa0Cz0MYpuHuv
487,487,[479],196.0,Inner+r=196+d=PL_SrTq08Ci+uid=Cv2-nSfr0OBVAfxvQ9Bh95,479,Inner+r=196+d=PL_SrTq08Ci+uid=Cv2-nSfr0OBVAfxvQ9Bh95
488,488,[479],196.0,Inner+r=196+d=PrwIFvwQAXk+uid=B-ugNSDViaWMhCwZrB--lM,479,Inner+r=196+d=PrwIFvwQAXk+uid=B-ugNSDViaWMhCwZrB--lM
489,489,[452],196.0,Inner+r=196+d=PrwIFvwQAXk+uid=B861-06Kyr_59VxfwgVyrr,452,Inner+r=196+d=PrwIFvwQAXk+uid=B861-06Kyr_59VxfwgVyrr
497,497,[485],196.0,Inner+r=196+d=P4sdpVVfhDx+uid=DIEv7Xy8CYHEWfA5B24Jn5,485,Inner+r=196+d=P4sdpVVfhDx+uid=DIEv7Xy8CYHEWfA5B24Jn5
499,499,[487],197.0,Inner+r=197+d=O52s3XtkW4f+uid=C2fRU9OZ2rPPTfyaV6lGYC,487,Inner+r=197+d=O52s3XtkW4f+uid=C2fRU9OZ2rPPTfyaV6lGYC
504,504,[489],197.0,Inner+r=197+d=O52s3XtkW4f+uid=BuZxaYHoMFljZGn6v1nNEA,489,Inner+r=197+d=O52s3XtkW4f+uid=BuZxaYHoMFljZGn6v1nNEA
505,505,[489],197.0,Inner+r=197+d=M4V99JtYjtD+uid=Bv6lHKT64s9c4z3XCSlH2U,489,Inner+r=197+d=M4V99JtYjtD+uid=Bv6lHKT64s9c4z3XCSlH2U
508,508,[475],197.0,Inner+r=197+d=LtS9WRi97Vd+uid=C0POf66pVeDgpjWqLG3-6m,475,Inner+r=197+d=LtS9WRi97Vd+uid=C0POf66pVeDgpjWqLG3-6m
512,512,[485],197.0,Inner+r=197+d=PVcAHGxDsTK+uid=BrvgJrXk0MJQlHqpKQ32F7,485,Inner+r=197+d=PVcAHGxDsTK+uid=BrvgJrXk0MJQlHqpKQ32F7
513,513,[497],197.0,Inner+r=197+d=FxOoCkQua3T+uid=DaLWWCv9ZOf6LGMTNfZODS,497,Inner+r=197+d=FxOoCkQua3T+uid=DaLWWCv9ZOf6LGMTNfZODS
515,515,[189],197.0,Inner+r=197+d=P8QjcfGbQLO+uid=DceRhI_Chul6AqwkCuQbx4,189,Inner+r=197+d=P8QjcfGbQLO+uid=DceRhI_Chul6AqwkCuQbx4
516,516,[499],198.0,Inner+r=198+d=O8KgjeGIFpH+uid=CcfUmKj3bch1ZCdANpiPZo,499,Inner+r=198+d=O8KgjeGIFpH+uid=CcfUmKj3bch1ZCdANpiPZo
523,523,[488],198.0,Inner+r=198+d=PabzKNsP24u+uid=DYcGT8g9qyZWJMS2JZFVD_,488,Inner+r=198+d=PabzKNsP24u+uid=DYcGT8g9qyZWJMS2JZFVD_
527,527,[505],198.0,Inner+r=198+d=O8KgjeGIFpH+uid=DCNEcvW1h5aq1hGj6Axry9,505,Inner+r=198+d=O8KgjeGIFpH+uid=DCNEcvW1h5aq1hGj6Axry9
531,531,[508],198.0,Inner+r=198+d=Icbq-ku8Tbx+uid=C6LtdX4TgeEmwiDT9QToxg,508,Inner+r=198+d=Icbq-ku8Tbx+uid=C6LtdX4TgeEmwiDT9QToxg
542,542,[515],198.0,Inner+r=198+d=IG2d7pJfsZ5+uid=BY1RoFCoB6kJLyM6SuY0rM,515,Inner+r=198+d=IG2d7pJfsZ5+uid=BY1RoFCoB6kJLyM6SuY0rM
543,543,[516],199.0,Inner+r=199+d=Nb_EU2ANKXr+uid=CnRbpt6u7Rm7psrEroLS_v,516,Inner+r=199+d=Nb_EU2ANKXr+uid=CnRbpt6u7Rm7psrEroLS_v
556,556,[527],199.0,Inner+r=199+d=M1fLYHtFtrk+uid=ft_YoADdcDVLdNNaHRNPA,527,Inner+r=199+d=M1fLYHtFtrk+uid=ft_YoADdcDVLdNNaHRNPA
559,559,[481],199.0,Inner+r=199+d=PuTKf8K3ztd+uid=BjpSLjXs9hXTMxgkcoMz4O,481,Inner+r=199+d=PuTKf8K3ztd+uid=BjpSLjXs9hXTMxgkcoMz4O
565,565,[484],199.0,Inner+r=199+d=HakT_2ei7FE+uid=VI0m4MiJnB7YmrZVkLWvW,484,Inner+r=199+d=HakT_2ei7FE+uid=VI0m4MiJnB7YmrZVkLWvW
575,575,[543],200.0,Inner+r=200+d=N2MwILJHcJy+uid=4LyHkpXt3APjsLTRGdStc,543,Inner+r=200+d=N2MwILJHcJy+uid=4LyHkpXt3APjsLTRGdStc
577,577,[516],200.0,Inner+r=200+d=JNZuH_b8ipj+uid=Cl8DWmv-VbMatAyfQuTIH,516,Inner+r=200+d=JNZuH_b8ipj+uid=Cl8DWmv-VbMatAyfQuTIH
578,578,[499],200.0,Inner+r=200+d=KsRsC2uZKdL+uid=BtP61MQCcFRifhJaQtIGra,499,Inner+r=200+d=KsRsC2uZKdL+uid=BtP61MQCcFRifhJaQtIGra
579,579,[499],200.0,Inner+r=200+d=Hs8VgcOJ_CA+uid=D3gEfP14jHzJ3tVP3GmAbq,499,Inner+r=200+d=Hs8VgcOJ_CA+uid=D3gEfP14jHzJ3tVP3GmAbq
580,580,[499],200.0,Inner+r=200+d=OVX0oU9pUvm+uid=zUILcitbBxCX-OhhI53K6,499,Inner+r=200+d=OVX0oU9pUvm+uid=zUILcitbBxCX-OhhI53K6
582,582,[487],200.0,Inner+r=200+d=MwdB1HWT0Vv+uid=CNZLOt2Vd7a0ywXsGxS2nc,487,Inner+r=200+d=MwdB1HWT0Vv+uid=CNZLOt2Vd7a0ywXsGxS2nc
583,583,[487],200.0,Inner+r=200+d=NBDi6ral4jU+uid=CiskmrRxIvqv6tO-0A_f6u,487,Inner+r=200+d=NBDi6ral4jU+uid=CiskmrRxIvqv6tO-0A_f6u
584,584,[523],200.0,Inner+r=200+d=FWe5WhY3c1h+uid=XJJJf-zFNoIYwQ9cKa-Js,523,Inner+r=200+d=FWe5WhY3c1h+uid=XJJJf-zFNoIYwQ9cKa-Js
585,585,[523],200.0,Inner+r=200+d=MwdB1HWT0Vv+uid=fLkkM2w8BJmuC7Vx9pa1S,523,Inner+r=200+d=MwdB1HWT0Vv+uid=fLkkM2w8BJmuC7Vx9pa1S
586,586,[488],200.0,Inner+r=200+d=LuZOtoc8XDc+uid=CmPgwy-TiXsLlswnrC1TL6,488,Inner+r=200+d=LuZOtoc8XDc+uid=CmPgwy-TiXsLlswnrC1TL6
587,587,[504],200.0,Inner+r=200+d=NKbVf6vYc4-+uid=CPMySDv-REDmD8R_o_ixuq,504,Inner+r=200+d=NKbVf6vYc4-+uid=CPMySDv-REDmD8R_o_ixuq
588,588,[504],200.0,Inner+r=200+d=PrHJKMXgQB9+uid=Dv_nbgaLHzyYRUYCbVp-su,504,Inner+r=200+d=PrHJKMXgQB9+uid=Dv_nbgaLHzyYRUYCbVp-su
589,589,[556],200.0,Inner+r=200+d=P8cOPtI-WkJ+uid=BZp4sTcxXZabfMulhxO4Mb,556,Inner+r=200+d=P8cOPtI-WkJ+uid=BZp4sTcxXZabfMulhxO4Mb
591,591,[527],200.0,Inner+r=200+d=P8cOPtI-WkJ+uid=yhkI4h-y-hqs5IDSeuod1,527,Inner+r=200+d=P8cOPtI-WkJ+uid=yhkI4h-y-hqs5IDSeuod1
592,592,[505],200.0,Inner+r=200+d=NBDi6ral4jU+uid=RV8izv6-eL_etwK7l3WAB,505,Inner+r=200+d=NBDi6ral4jU+uid=RV8izv6-eL_etwK7l3WAB
593,593,[559],200.0,Inner+r=200+d=DlfNNbi5DCk+uid=Bo1S62GO3mw1MAG2OFZViy,559,Inner+r=200+d=DlfNNbi5DCk+uid=Bo1S62GO3mw1MAG2OFZViy
594,594,[559],200.0,Inner+r=200+d=JDX1C1skALX+uid=DMiOvR0KB59UztUJoLJ7TJ,559,Inner+r=200+d=JDX1C1skALX+uid=DMiOvR0KB59UztUJoLJ7TJ
595,595,[481],200.0,Inner+r=200+d=BXunaFqPEUh+uid=BHlKuR-rq3tXOqEQcRn-af,481,Inner+r=200+d=BXunaFqPEUh+uid=BHlKuR-rq3tXOqEQcRn-af
596,596,[531],200.0,Inner+r=200+d=JFyDJwlTFFi+uid=DqY6pYxaZta-X7GZf-7BEe,531,Inner+r=200+d=JFyDJwlTFFi+uid=DqY6pYxaZta-X7GZf-7BEe
597,597,[531],200.0,Inner+r=200+d=JFyDJwlTFFi+uid=DMVkzIcOazHldbPbHQ7kJm,531,Inner+r=200+d=JFyDJwlTFFi+uid=DMVkzIcOazHldbPbHQ7kJm
599,599,[475],200.0,Inner+r=200+d=OeJ6qXslDpW+uid=CmxAREfhyuZV6a0eZ4nmYI,475,Inner+r=200+d=OeJ6qXslDpW+uid=CmxAREfhyuZV6a0eZ4nmYI
