,notebook,replicate,treatment,first rank,population size estimate at first rank,population size upper bound at first rank,population size lower bound at first rank,second rank,population size estimate at second rank,population size upper bound at second rank,population size lower bound at second rank,nonoverlapping CI,Mann-Whitney p,Mann-Whitney significant at alpha = 0.05,Mann-Whitney significant at alpha = 0.01
0,ne-inference,6,range-expansion,33,4.364857842987587,7.4572738340828355,2.093118996048766,100,19.697541971241606,33.65286330547425,9.445737011048617,True,3.9839538295466283e-07,True,True
1,ne-inference,6,range-expansion,33,4.364857842987587,7.4572738340828355,2.093118996048766,166,52.31149165874859,89.37315532402732,25.08539357781892,True,7.2476737046050625e-09,True,True
2,ne-inference,6,range-expansion,100,19.697541971241606,33.65286330547425,9.445737011048617,33,4.364857842987587,7.4572738340828355,2.093118996048766,True,3.9839538295466283e-07,True,True
3,ne-inference,6,range-expansion,100,19.697541971241606,33.65286330547425,9.445737011048617,166,52.31149165874859,89.37315532402732,25.08539357781892,False,0.19678772302989056,False,False
4,ne-inference,6,range-expansion,166,52.31149165874859,89.37315532402732,25.08539357781892,33,4.364857842987587,7.4572738340828355,2.093118996048766,True,7.2476737046050625e-09,True,True
5,ne-inference,6,range-expansion,166,52.31149165874859,89.37315532402732,25.08539357781892,100,19.697541971241606,33.65286330547425,9.445737011048617,False,0.19678772302989056,False,False
