,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
152,152,[0],151.0,Inner+r=151+d=P4_nnI60fby+uid=XKkAScqm4pMDXZWD7vpOB,0,Inner+r=151+d=P4_nnI60fby+uid=XKkAScqm4pMDXZWD7vpOB
167,167,[152],159.0,Inner+r=159+d=Pchl1CzoClw+uid=DO6lkLBTc7djhcGzM-vr4-,152,Inner+r=159+d=Pchl1CzoClw+uid=DO6lkLBTc7djhcGzM-vr4-
189,189,[152],166.0,Inner+r=166+d=P85tDTrCXBz+uid=H4w8RBWKHSJQ-wlpwU26b,152,Inner+r=166+d=P85tDTrCXBz+uid=H4w8RBWKHSJQ-wlpwU26b
200,200,[189],169.0,Inner+r=169+d=Pof181rvAqs+uid=zUILcitbBxCX-OhhI53K6,189,Inner+r=169+d=Pof181rvAqs+uid=zUILcitbBxCX-OhhI53K6
209,209,[200],171.0,Inner+r=171+d=PdHK88WCGvX+uid=ByRwrdrvuirtUVNmRAOdFC,200,Inner+r=171+d=PdHK88WCGvX+uid=ByRwrdrvuirtUVNmRAOdFC
246,246,[200],177.0,Inner+r=177+d=P5m8kwMj_Rl+uid=B-lPWrCOL6067stUQ3cFTP,200,Inner+r=177+d=P5m8kwMj_Rl+uid=B-lPWrCOL6067stUQ3cFTP
332,332,[167],190.0,Inner+r=190+d=Ps22rebV24m+uid=CQZwTDZdYLbkbj25XUNQso,167,Inner+r=190+d=Ps22rebV24m+uid=CQZwTDZdYLbkbj25XUNQso
339,339,[332],191.0,Inner+r=191+d=N44Y6YLXFpd+uid=W2OgOnMkw0ywTnBlmrVH9,332,Inner+r=191+d=N44Y6YLXFpd+uid=W2OgOnMkw0ywTnBlmrVH9
350,350,[167],192.0,Inner+r=192+d=PWZR6CkWHDZ+uid=D-wI6QHl-gN726Geur8QCw,167,Inner+r=192+d=PWZR6CkWHDZ+uid=D-wI6QHl-gN726Geur8QCw
351,351,[209],192.0,Inner+r=192+d=MJUmEcnrX1g+uid=y6cBpgs5J3rp3JaPUVPNt,209,Inner+r=192+d=MJUmEcnrX1g+uid=y6cBpgs5J3rp3JaPUVPNt
352,352,[209],192.0,Inner+r=192+d=PUq5zmqIJgA+uid=BzwvbwbOnnMjw3faDkjhtN,209,Inner+r=192+d=PUq5zmqIJgA+uid=BzwvbwbOnnMjw3faDkjhtN
397,397,[351],196.0,Inner+r=196+d=NxAO50t6XO_+uid=BzCxnsK5mfB7PwuUxOKon1,351,Inner+r=196+d=NxAO50t6XO_+uid=BzCxnsK5mfB7PwuUxOKon1
399,399,[352],196.0,Inner+r=196+d=OUJEsPBF_3q+uid=BoRX5BQa3-Z_nu-Nv_h2kY,352,Inner+r=196+d=OUJEsPBF_3q+uid=BoRX5BQa3-Z_nu-Nv_h2kY
400,400,[352],196.0,Inner+r=196+d=OUJEsPBF_3q+uid=C1c_Ya9_vCIeKZ117tAhId,352,Inner+r=196+d=OUJEsPBF_3q+uid=C1c_Ya9_vCIeKZ117tAhId
401,401,[246],196.0,Inner+r=196+d=OCRoeYwHZRa+uid=CK5jqxqjERVuBVrxwlKmbY,246,Inner+r=196+d=OCRoeYwHZRa+uid=CK5jqxqjERVuBVrxwlKmbY
408,408,[350],197.0,Inner+r=197+d=KtjKlE8_KFX+uid=CQMdSVOetjsB27L7GvTN-1,350,Inner+r=197+d=KtjKlE8_KFX+uid=CQMdSVOetjsB27L7GvTN-1
