,notebook,replicate,treatment,first rank,population size estimate at first rank,population size upper bound at first rank,population size lower bound at first rank,second rank,population size estimate at second rank,population size upper bound at second rank,population size lower bound at second rank,nonoverlapping CI,Mann-Whitney p,Mann-Whitney significant at alpha = 0.05,Mann-Whitney significant at alpha = 0.01
0,ne-inference,6,selection-pressure,33,22.408732501962948,38.284879039146546,10.74585825345686,100,53.184273335841574,90.86428566494071,25.50392631667124,False,9.486032510245876e-05,True,True
1,ne-inference,6,selection-pressure,33,22.408732501962948,38.284879039146546,10.74585825345686,166,9.285902540884615,15.864781978004748,4.452951207794552,False,0.16633841654051784,False,False
2,ne-inference,6,selection-pressure,100,53.184273335841574,90.86428566494071,25.50392631667124,33,22.408732501962948,38.284879039146546,10.74585825345686,False,9.486032510245876e-05,True,True
3,ne-inference,6,selection-pressure,100,53.184273335841574,90.86428566494071,25.50392631667124,166,9.285902540884615,15.864781978004748,4.452951207794552,True,8.073622296920746e-06,True,True
4,ne-inference,6,selection-pressure,166,9.285902540884615,15.864781978004748,4.452951207794552,33,22.408732501962948,38.284879039146546,10.74585825345686,False,0.16633841654051784,False,False
5,ne-inference,6,selection-pressure,166,9.285902540884615,15.864781978004748,4.452951207794552,100,53.184273335841574,90.86428566494071,25.50392631667124,True,8.073622296920746e-06,True,True
