,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
192,192,[0],191.0,Inner+r=191+d=P8vMgo8uPIV+uid=W2OgOnMkw0ywTnBlmrVH9,0,Inner+r=191+d=P8vMgo8uPIV+uid=W2OgOnMkw0ywTnBlmrVH9
197,197,[192],194.0,Inner+r=194+d=P2A589QfZKu+uid=DuG4zEcDWKJ-uhqdOmGlnj,192,Inner+r=194+d=P2A589QfZKu+uid=DuG4zEcDWKJ-uhqdOmGlnj
200,200,[197],195.0,Inner+r=195+d=N1-6zkoE4to+uid=BeYnnb4J7dWqUxn0eC_jpK,197,Inner+r=195+d=N1-6zkoE4to+uid=BeYnnb4J7dWqUxn0eC_jpK
202,202,[197],195.0,Inner+r=195+d=NVzJ-4NYL_5+uid=Da5yCyzwP9Idx6S-7KhOvK,197,Inner+r=195+d=NVzJ-4NYL_5+uid=Da5yCyzwP9Idx6S-7KhOvK
205,205,[200],196.0,Inner+r=196+d=P1tmWbj8RC0+uid=DK3_kYxBpm2YL6TXoo0uCO,200,Inner+r=196+d=P1tmWbj8RC0+uid=DK3_kYxBpm2YL6TXoo0uCO
207,207,[200],196.0,Inner+r=196+d=NxnX2Gtq-ep+uid=CSSEGUrvQlnLsrksPIeGj6,200,Inner+r=196+d=NxnX2Gtq-ep+uid=CSSEGUrvQlnLsrksPIeGj6
208,208,[200],196.0,Inner+r=196+d=PQNZjdDkrrm+uid=CU2M1HcY47r5RC82L5Gcsy,200,Inner+r=196+d=PQNZjdDkrrm+uid=CU2M1HcY47r5RC82L5Gcsy
210,210,[197],196.0,Inner+r=196+d=P1tmWbj8RC0+uid=BtP61MQCcFRifhJaQtIGra,197,Inner+r=196+d=P1tmWbj8RC0+uid=BtP61MQCcFRifhJaQtIGra
212,212,[202],196.0,Inner+r=196+d=PMzziToeZqQ+uid=C6D_C36hdMTlEuK-omFOfn,202,Inner+r=196+d=PMzziToeZqQ+uid=C6D_C36hdMTlEuK-omFOfn
216,216,[205],197.0,Inner+r=197+d=O9zo5AJGIvr+uid=Cl8DWmv-VbMatAyfQuTIH,205,Inner+r=197+d=O9zo5AJGIvr+uid=Cl8DWmv-VbMatAyfQuTIH
218,218,[205],197.0,Inner+r=197+d=PNiDzoUff5r+uid=BHfkqAvp8KYyFcHAujNA2W,205,Inner+r=197+d=PNiDzoUff5r+uid=BHfkqAvp8KYyFcHAujNA2W
221,221,[207],197.0,Inner+r=197+d=PNiDzoUff5r+uid=_ZMUMvuqsl_zVjA9-Ibiq,207,Inner+r=197+d=PNiDzoUff5r+uid=_ZMUMvuqsl_zVjA9-Ibiq
222,222,[208],197.0,Inner+r=197+d=O9zo5AJGIvr+uid=l7yEUum5zbO7UsfDpw97u,208,Inner+r=197+d=O9zo5AJGIvr+uid=l7yEUum5zbO7UsfDpw97u
226,226,[210],197.0,Inner+r=197+d=O9zo5AJGIvr+uid=C4N42CkcvjhvESz9A3tdus,210,Inner+r=197+d=O9zo5AJGIvr+uid=C4N42CkcvjhvESz9A3tdus
227,227,[210],197.0,Inner+r=197+d=PNiDzoUff5r+uid=XJJJf-zFNoIYwQ9cKa-Js,210,Inner+r=197+d=PNiDzoUff5r+uid=XJJJf-zFNoIYwQ9cKa-Js
233,233,[197],198.0,Inner+r=198+d=O6ta95oB0h3+uid=CcfUmKj3bch1ZCdANpiPZo,197,Inner+r=198+d=O6ta95oB0h3+uid=CcfUmKj3bch1ZCdANpiPZo
251,251,[208],198.0,Inner+r=198+d=O6hHZ8Xpdzj+uid=BQDEjh_BR6eBlqjYReyOnX,208,Inner+r=198+d=O6hHZ8Xpdzj+uid=BQDEjh_BR6eBlqjYReyOnX
252,252,[200],198.0,Inner+r=198+d=N8MI6RPleyD+uid=7tC2dZlMdrzjZQx8YYQyf,200,Inner+r=198+d=N8MI6RPleyD+uid=7tC2dZlMdrzjZQx8YYQyf
258,258,[227],198.0,Inner+r=198+d=O-ffPU_SMom+uid=Z3i3toOIARUFTu8fO1Waf,227,Inner+r=198+d=O-ffPU_SMom+uid=Z3i3toOIARUFTu8fO1Waf
259,259,[227],198.0,Inner+r=198+d=M1d2h--cE6R+uid=CZ0Candiorpexd8sf8rTiI,227,Inner+r=198+d=M1d2h--cE6R+uid=CZ0Candiorpexd8sf8rTiI
267,267,[233],199.0,Inner+r=199+d=NwrWBuTaPCW+uid=ft_YoADdcDVLdNNaHRNPA,233,Inner+r=199+d=NwrWBuTaPCW+uid=ft_YoADdcDVLdNNaHRNPA
291,291,[226],199.0,Inner+r=199+d=NwrWBuTaPCW+uid=BfrJcagBhYRBM_Owoi99ND,226,Inner+r=199+d=NwrWBuTaPCW+uid=BfrJcagBhYRBM_Owoi99ND
305,305,[233],200.0,Inner+r=200+d=OsC3HOu2f-y+uid=4LyHkpXt3APjsLTRGdStc,233,Inner+r=200+d=OsC3HOu2f-y+uid=4LyHkpXt3APjsLTRGdStc
308,308,[233],200.0,Inner+r=200+d=N_vXHAhFzWv+uid=CttVVWAOajBYa0bwFcAxUc,233,Inner+r=200+d=N_vXHAhFzWv+uid=CttVVWAOajBYa0bwFcAxUc
309,309,[205],200.0,Inner+r=200+d=PcYyHXAXSyC+uid=VwM3VmDZATHb7tu28heXe,205,Inner+r=200+d=PcYyHXAXSyC+uid=VwM3VmDZATHb7tu28heXe
311,311,[216],200.0,Inner+r=200+d=OsC3HOu2f-y+uid=RjMQ-ROG4VlV9cozi0o2o,216,Inner+r=200+d=OsC3HOu2f-y+uid=RjMQ-ROG4VlV9cozi0o2o
312,312,[216],200.0,Inner+r=200+d=LU6eM8eXzSo+uid=D0j-fTGZfo8-25JNh-C2cj,216,Inner+r=200+d=LU6eM8eXzSo+uid=D0j-fTGZfo8-25JNh-C2cj
314,314,[205],200.0,Inner+r=200+d=Mns_O9f_Dk-+uid=qBP9nBQ3FjHFGmb2oJuXx,205,Inner+r=200+d=Mns_O9f_Dk-+uid=qBP9nBQ3FjHFGmb2oJuXx
315,315,[218],200.0,Inner+r=200+d=LU6eM8eXzSo+uid=BChQ2o-Dddk0SZ46-hjVi4,218,Inner+r=200+d=LU6eM8eXzSo+uid=BChQ2o-Dddk0SZ46-hjVi4
316,316,[218],200.0,Inner+r=200+d=JlCTjYTYobT+uid=CjbPK5j20KqrKz0iKa-GXf,218,Inner+r=200+d=JlCTjYTYobT+uid=CjbPK5j20KqrKz0iKa-GXf
319,319,[200],200.0,Inner+r=200+d=GX78s4F-USY+uid=DB5kFalfLuVU-mlhFF8h6U,200,Inner+r=200+d=GX78s4F-USY+uid=DB5kFalfLuVU-mlhFF8h6U
322,322,[221],200.0,Inner+r=200+d=Gz5hrR-1Z_G+uid=CpLNLe2ALLCD6FsKm06agG,221,Inner+r=200+d=Gz5hrR-1Z_G+uid=CpLNLe2ALLCD6FsKm06agG
324,324,[222],200.0,Inner+r=200+d=PyGB_gAh4h4+uid=C5VZJQ0J36bIdOJj-0NFYi,222,Inner+r=200+d=PyGB_gAh4h4+uid=C5VZJQ0J36bIdOJj-0NFYi
325,325,[208],200.0,Inner+r=200+d=ITfbjjV8dbD+uid=yJXjr6zkdBkmG86aUi4Kx,208,Inner+r=200+d=ITfbjjV8dbD+uid=yJXjr6zkdBkmG86aUi4Kx
