,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
156,156,[0],155.0,Inner+r=155+d=Pqnfczv3IgD+uid=CUOcdG2N3S78rweLBRFY3l,0,Inner+r=155+d=Pqnfczv3IgD+uid=CUOcdG2N3S78rweLBRFY3l
163,163,[156],159.0,Inner+r=159+d=P-z4ToGE8Ah+uid=DO6lkLBTc7djhcGzM-vr4-,156,Inner+r=159+d=P-z4ToGE8Ah+uid=DO6lkLBTc7djhcGzM-vr4-
170,170,[156],161.0,Inner+r=161+d=P-YMgixfrg0+uid=XJJJf-zFNoIYwQ9cKa-Js,156,Inner+r=161+d=P-YMgixfrg0+uid=XJJJf-zFNoIYwQ9cKa-Js
187,187,[163],166.0,Inner+r=166+d=PeS9Ygd9UBg+uid=CCX4VCE71IjlP98HzLhAnW,163,Inner+r=166+d=PeS9Ygd9UBg+uid=CCX4VCE71IjlP98HzLhAnW
193,193,[163],167.0,Inner+r=167+d=PLaSXHhR1CG+uid=_EMAhtM2OjkU02U5GSd6l,163,Inner+r=167+d=PLaSXHhR1CG+uid=_EMAhtM2OjkU02U5GSd6l
197,197,[187],168.0,Inner+r=168+d=Pw0i0jkhheo+uid=DPOe_XDir2QQuD2lAvz5YW,187,Inner+r=168+d=Pw0i0jkhheo+uid=DPOe_XDir2QQuD2lAvz5YW
242,242,[170],174.0,Inner+r=174+d=PlMFEDYIalm+uid=BHFYp-S6RImKkXKgUeOyXl,170,Inner+r=174+d=PlMFEDYIalm+uid=BHFYp-S6RImKkXKgUeOyXl
349,349,[197],188.0,Inner+r=188+d=P87Ip6GIrxI+uid=BjJD5TA-LnxAfMBCTp5u18,197,Inner+r=188+d=P87Ip6GIrxI+uid=BjJD5TA-LnxAfMBCTp5u18
379,379,[193],191.0,Inner+r=191+d=MdHa28rG6js+uid=Dz_xtNmosJIKONHq3MpLAr,193,Inner+r=191+d=MdHa28rG6js+uid=Dz_xtNmosJIKONHq3MpLAr
388,388,[379],192.0,Inner+r=192+d=NAVRGIflb5c+uid=Ce5e_88w-CYmLIlICGGZO,379,Inner+r=192+d=NAVRGIflb5c+uid=Ce5e_88w-CYmLIlICGGZO
405,405,[349],194.0,Inner+r=194+d=J99Pt_bC4CN+uid=Du8ghFCvXo0iEBPu_XMyMK,349,Inner+r=194+d=J99Pt_bC4CN+uid=Du8ghFCvXo0iEBPu_XMyMK
