,notebook,replicate,treatment,first rank,population size estimate at first rank,population size upper bound at first rank,population size lower bound at first rank,second rank,population size estimate at second rank,population size upper bound at second rank,population size lower bound at second rank,nonoverlapping CI,Mann-Whitney p,Mann-Whitney significant at alpha = 0.05,Mann-Whitney significant at alpha = 0.01
0,ne-inference,0,selection-pressure,33,24.66828370519292,42.14527785870673,11.829400883287,100,51.0438577450563,87.20742769764868,24.477513843763493,False,0.00014793144465091764,True,True
1,ne-inference,0,selection-pressure,33,24.66828370519292,42.14527785870673,11.829400883287,166,17.688265259606776,30.22005353569475,8.482210728011033,False,0.8764169287171759,False,False
2,ne-inference,0,selection-pressure,100,51.0438577450563,87.20742769764868,24.477513843763493,33,24.66828370519292,42.14527785870673,11.829400883287,False,0.00014793144465091764,True,True
3,ne-inference,0,selection-pressure,100,51.0438577450563,87.20742769764868,24.477513843763493,166,17.688265259606776,30.22005353569475,8.482210728011033,False,0.001432526532065684,True,True
4,ne-inference,0,selection-pressure,166,17.688265259606776,30.22005353569475,8.482210728011033,33,24.66828370519292,42.14527785870673,11.829400883287,False,0.8764169287171759,False,False
5,ne-inference,0,selection-pressure,166,17.688265259606776,30.22005353569475,8.482210728011033,100,51.0438577450563,87.20742769764868,24.477513843763493,False,0.001432526532065684,True,True
