,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
188,188,[0],187.0,Inner+r=187+d=PRgRSZZqryx+uid=CxE3miD_RPZQTXWYiSExR7,0,Inner+r=187+d=PRgRSZZqryx+uid=CxE3miD_RPZQTXWYiSExR7
196,196,[188],191.0,Inner+r=191+d=P9gp0_0gU0R+uid=fLkkM2w8BJmuC7Vx9pa1S,188,Inner+r=191+d=P9gp0_0gU0R+uid=fLkkM2w8BJmuC7Vx9pa1S
200,200,[188],193.0,Inner+r=193+d=PiRRjl0kRle+uid=Dknfa7gDr1BlE2v2KHWP9N,188,Inner+r=193+d=PiRRjl0kRle+uid=Dknfa7gDr1BlE2v2KHWP9N
201,201,[196],193.0,Inner+r=193+d=PiRRjl0kRle+uid=DPgPdRSLdVQTRvMpNiHRcz,196,Inner+r=193+d=PiRRjl0kRle+uid=DPgPdRSLdVQTRvMpNiHRcz
203,203,[200],194.0,Inner+r=194+d=PvffokHtG_q+uid=DuG4zEcDWKJ-uhqdOmGlnj,200,Inner+r=194+d=PvffokHtG_q+uid=DuG4zEcDWKJ-uhqdOmGlnj
204,204,[200],194.0,Inner+r=194+d=P4preMps3b-+uid=DYcGT8g9qyZWJMS2JZFVD_,200,Inner+r=194+d=P4preMps3b-+uid=DYcGT8g9qyZWJMS2JZFVD_
205,205,[201],194.0,Inner+r=194+d=P4preMps3b-+uid=GLrySzruJiudtte8brwLP,201,Inner+r=194+d=P4preMps3b-+uid=GLrySzruJiudtte8brwLP
211,211,[204],195.0,Inner+r=195+d=PLM1Tp8GPMP+uid=D-iyt5utp5R4tSMO0qMDY7,204,Inner+r=195+d=PLM1Tp8GPMP+uid=D-iyt5utp5R4tSMO0qMDY7
214,214,[205],195.0,Inner+r=195+d=PxCc0ZzbrMg+uid=DYh-Xv0zGRZG-NOseOe-O,205,Inner+r=195+d=PxCc0ZzbrMg+uid=DYh-Xv0zGRZG-NOseOe-O
215,215,[205],195.0,Inner+r=195+d=PLM1Tp8GPMP+uid=BN7V-qmuDhuUaaiiCwXEpZ,205,Inner+r=195+d=PLM1Tp8GPMP+uid=BN7V-qmuDhuUaaiiCwXEpZ
218,218,[203],196.0,Inner+r=196+d=PynJcJDRjsn+uid=Cv2-nSfr0OBVAfxvQ9Bh95,203,Inner+r=196+d=PynJcJDRjsn+uid=Cv2-nSfr0OBVAfxvQ9Bh95
221,221,[211],196.0,Inner+r=196+d=PynJcJDRjsn+uid=XJJJf-zFNoIYwQ9cKa-Js,211,Inner+r=196+d=PynJcJDRjsn+uid=XJJJf-zFNoIYwQ9cKa-Js
223,223,[204],196.0,Inner+r=196+d=PynJcJDRjsn+uid=Dox6AdaIFf2oi3zGuZxhqo,204,Inner+r=196+d=PynJcJDRjsn+uid=Dox6AdaIFf2oi3zGuZxhqo
224,224,[204],196.0,Inner+r=196+d=PynJcJDRjsn+uid=Cl8DWmv-VbMatAyfQuTIH,204,Inner+r=196+d=PynJcJDRjsn+uid=Cl8DWmv-VbMatAyfQuTIH
225,225,[214],196.0,Inner+r=196+d=PynJcJDRjsn+uid=CshZ-P9waoMkvhskiLl-9F,214,Inner+r=196+d=PynJcJDRjsn+uid=CshZ-P9waoMkvhskiLl-9F
238,238,[221],197.0,Inner+r=197+d=PX7bXmMk0u4+uid=D8geRC9TwkRQvq1X-kJED,221,Inner+r=197+d=PX7bXmMk0u4+uid=D8geRC9TwkRQvq1X-kJED
245,245,[224],197.0,Inner+r=197+d=O_KEC29EkRY+uid=DMXTdaQ7u6ZumkE8pZdY-D,224,Inner+r=197+d=O_KEC29EkRY+uid=DMXTdaQ7u6ZumkE8pZdY-D
247,247,[224],197.0,Inner+r=197+d=P2v0PzZFlGZ+uid=8WT5_O1HTdfkzP3QrKTXy,224,Inner+r=197+d=P2v0PzZFlGZ+uid=8WT5_O1HTdfkzP3QrKTXy
260,260,[218],198.0,Inner+r=198+d=Pr19HRN620f+uid=BtP61MQCcFRifhJaQtIGra,218,Inner+r=198+d=Pr19HRN620f+uid=BtP61MQCcFRifhJaQtIGra
264,264,[221],198.0,Inner+r=198+d=Pr19HRN620f+uid=Dwo6ZoYeHoDdnbMK_4oQ5w,221,Inner+r=198+d=Pr19HRN620f+uid=Dwo6ZoYeHoDdnbMK_4oQ5w
270,270,[223],198.0,Inner+r=198+d=PbpKDidae0E+uid=CPMySDv-REDmD8R_o_ixuq,223,Inner+r=198+d=PbpKDidae0E+uid=CPMySDv-REDmD8R_o_ixuq
280,280,[225],198.0,Inner+r=198+d=Pr19HRN620f+uid=BfrJcagBhYRBM_Owoi99ND,225,Inner+r=198+d=Pr19HRN620f+uid=BfrJcagBhYRBM_Owoi99ND
287,287,[215],198.0,Inner+r=198+d=Pr19HRN620f+uid=CASel6eBtRIINJdHHQJGzK,215,Inner+r=198+d=Pr19HRN620f+uid=CASel6eBtRIINJdHHQJGzK
290,290,[218],199.0,Inner+r=199+d=P7_thXw3LWO+uid=CnRbpt6u7Rm7psrEroLS_v,218,Inner+r=199+d=P7_thXw3LWO+uid=CnRbpt6u7Rm7psrEroLS_v
316,316,[280],199.0,Inner+r=199+d=OwocxO5wo7K+uid=COkD_ZNDO2DGHkBqZgp6e3,280,Inner+r=199+d=OwocxO5wo7K+uid=COkD_ZNDO2DGHkBqZgp6e3
327,327,[290],200.0,Inner+r=200+d=P_zqBXE7aNA+uid=4LyHkpXt3APjsLTRGdStc,290,Inner+r=200+d=P_zqBXE7aNA+uid=4LyHkpXt3APjsLTRGdStc
328,328,[290],200.0,Inner+r=200+d=NdXwQZDqQO1+uid=DPOe_XDir2QQuD2lAvz5YW,290,Inner+r=200+d=NdXwQZDqQO1+uid=DPOe_XDir2QQuD2lAvz5YW
331,331,[203],200.0,Inner+r=200+d=I4hUYG427Oo+uid=VwM3VmDZATHb7tu28heXe,203,Inner+r=200+d=I4hUYG427Oo+uid=VwM3VmDZATHb7tu28heXe
333,333,[221],200.0,Inner+r=200+d=KNaG6Ul1eva+uid=D3gEfP14jHzJ3tVP3GmAbq,221,Inner+r=200+d=KNaG6Ul1eva+uid=D3gEfP14jHzJ3tVP3GmAbq
334,334,[264],200.0,Inner+r=200+d=H4XHA6skTmu+uid=BwKTgVU1HSwej7RrUqLVUf,264,Inner+r=200+d=H4XHA6skTmu+uid=BwKTgVU1HSwej7RrUqLVUf
335,335,[264],200.0,Inner+r=200+d=IsHcUR-w7ec+uid=BW4KJGZj9CO4oPQoNOB1HX,264,Inner+r=200+d=IsHcUR-w7ec+uid=BW4KJGZj9CO4oPQoNOB1HX
