,notebook,replicate,treatment,first rank,population size estimate at first rank,population size upper bound at first rank,population size lower bound at first rank,second rank,population size estimate at second rank,population size upper bound at second rank,population size lower bound at second rank,nonoverlapping CI,Mann-Whitney p,Mann-Whitney significant at alpha = 0.05,Mann-Whitney significant at alpha = 0.01
0,ne-inference,8,selection-pressure,33,19.633222660811104,33.54297502779066,9.414893401630472,100,65.27659180154852,111.52377409079756,31.302663044719658,False,0.004428785566442177,True,True
1,ne-inference,8,selection-pressure,33,19.633222660811104,33.54297502779066,9.414893401630472,166,15.067614166240539,25.742722651203863,7.225506665047478,False,0.7205829261608623,False,False
2,ne-inference,8,selection-pressure,100,65.27659180154852,111.52377409079756,31.302663044719658,33,19.633222660811104,33.54297502779066,9.414893401630472,False,0.004428785566442177,True,True
3,ne-inference,8,selection-pressure,100,65.27659180154852,111.52377409079756,31.302663044719658,166,15.067614166240539,25.742722651203863,7.225506665047478,True,0.05779386229892829,False,False
4,ne-inference,8,selection-pressure,166,15.067614166240539,25.742722651203863,7.225506665047478,33,19.633222660811104,33.54297502779066,9.414893401630472,False,0.7205829261608623,False,False
5,ne-inference,8,selection-pressure,166,15.067614166240539,25.742722651203863,7.225506665047478,100,65.27659180154852,111.52377409079756,31.302663044719658,True,0.05779386229892829,False,False
