,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
99,99,[0],98.0,Inner+r=98+d=P61qp-BLA3a+uid=EZzt1f_LjQYENLjBLy2si,0,Inner+r=98+d=P61qp-BLA3a+uid=EZzt1f_LjQYENLjBLy2si
201,201,[99],149.0,Inner+r=149+d=LgRiCxsncpf+uid=DZEN3XYhX2eeOKWapRz6FO,99,Inner+r=149+d=LgRiCxsncpf+uid=DZEN3XYhX2eeOKWapRz6FO
203,203,[201],150.0,Inner+r=150+d=MwXeKTBg3Qm+uid=yJXjr6zkdBkmG86aUi4Kx,201,Inner+r=150+d=MwXeKTBg3Qm+uid=yJXjr6zkdBkmG86aUi4Kx
458,458,[99],193.0,Inner+r=193+d=P4ANMu9F5Oo+uid=Dknfa7gDr1BlE2v2KHWP9N,99,Inner+r=193+d=P4ANMu9F5Oo+uid=Dknfa7gDr1BlE2v2KHWP9N
464,464,[458],194.0,Inner+r=194+d=PtQtN9N0Z51+uid=DuG4zEcDWKJ-uhqdOmGlnj,458,Inner+r=194+d=PtQtN9N0Z51+uid=DuG4zEcDWKJ-uhqdOmGlnj
468,468,[203],194.0,Inner+r=194+d=MQ5iAmejRkE+uid=DcbaRuVkt76Z-hagzCeTqy,203,Inner+r=194+d=MQ5iAmejRkE+uid=DcbaRuVkt76Z-hagzCeTqy
480,480,[464],196.0,Inner+r=196+d=PnqB9Jko2jS+uid=Cv2-nSfr0OBVAfxvQ9Bh95,464,Inner+r=196+d=PnqB9Jko2jS+uid=Cv2-nSfr0OBVAfxvQ9Bh95
481,481,[464],196.0,Inner+r=196+d=PnqB9Jko2jS+uid=DK3_kYxBpm2YL6TXoo0uCO,464,Inner+r=196+d=PnqB9Jko2jS+uid=DK3_kYxBpm2YL6TXoo0uCO
489,489,[480],197.0,Inner+r=197+d=Ng7h4YYRwYW+uid=C2fRU9OZ2rPPTfyaV6lGYC,480,Inner+r=197+d=Ng7h4YYRwYW+uid=C2fRU9OZ2rPPTfyaV6lGYC
493,493,[481],197.0,Inner+r=197+d=NiEKbUHPh0w+uid=sQAuVNOQedUKpXTXV2Fdd,481,Inner+r=197+d=NiEKbUHPh0w+uid=sQAuVNOQedUKpXTXV2Fdd
494,494,[481],197.0,Inner+r=197+d=KmTU-mcRVcW+uid=yhkI4h-y-hqs5IDSeuod1,481,Inner+r=197+d=KmTU-mcRVcW+uid=yhkI4h-y-hqs5IDSeuod1
495,495,[458],197.0,Inner+r=197+d=NiEKbUHPh0w+uid=U_n68s03sdK_G7m-o4zyU,458,Inner+r=197+d=NiEKbUHPh0w+uid=U_n68s03sdK_G7m-o4zyU
498,498,[468],197.0,Inner+r=197+d=NB9Jwv4X0K2+uid=C1c_Ya9_vCIeKZ117tAhId,468,Inner+r=197+d=NB9Jwv4X0K2+uid=C1c_Ya9_vCIeKZ117tAhId
499,499,[468],197.0,Inner+r=197+d=OqQ5nSf6Uq7+uid=O9UMG9cdAM-dLf7aZNu6U,468,Inner+r=197+d=OqQ5nSf6Uq7+uid=O9UMG9cdAM-dLf7aZNu6U
505,505,[481],198.0,Inner+r=198+d=OqUTDoiDWlI+uid=CNZLOt2Vd7a0ywXsGxS2nc,481,Inner+r=198+d=OqUTDoiDWlI+uid=CNZLOt2Vd7a0ywXsGxS2nc
506,506,[481],198.0,Inner+r=198+d=MyGjEco66iA+uid=BuZxaYHoMFljZGn6v1nNEA,481,Inner+r=198+d=MyGjEco66iA+uid=BuZxaYHoMFljZGn6v1nNEA
513,513,[203],198.0,Inner+r=198+d=LDBF7YLXjZU+uid=DYEMP2uCliqI8Db77875IV,203,Inner+r=198+d=LDBF7YLXjZU+uid=DYEMP2uCliqI8Db77875IV
520,520,[201],198.0,Inner+r=198+d=PgKfuXNEWVB+uid=Ce5e_88w-CYmLIlICGGZO,201,Inner+r=198+d=PgKfuXNEWVB+uid=Ce5e_88w-CYmLIlICGGZO
521,521,[201],198.0,Inner+r=198+d=PcU3NkjAdQn+uid=KW0yQy13YEDxUZxZta7yc,201,Inner+r=198+d=PcU3NkjAdQn+uid=KW0yQy13YEDxUZxZta7yc
524,524,[480],199.0,Inner+r=199+d=J2XAui6j5aQ+uid=C9EpbN4bSpYLjn35uZIUno,480,Inner+r=199+d=J2XAui6j5aQ+uid=C9EpbN4bSpYLjn35uZIUno
525,525,[505],199.0,Inner+r=199+d=LCs5U-1sI3J+uid=CzhtJcs4dCrSpJJvBfIh38,505,Inner+r=199+d=LCs5U-1sI3J+uid=CzhtJcs4dCrSpJJvBfIh38
528,528,[506],199.0,Inner+r=199+d=J2XAui6j5aQ+uid=CHQs7SMJlE4vW1uTQBBrsF,506,Inner+r=199+d=J2XAui6j5aQ+uid=CHQs7SMJlE4vW1uTQBBrsF
537,537,[513],199.0,Inner+r=199+d=LVfBtgMR777+uid=Bo1S62GO3mw1MAG2OFZViy,513,Inner+r=199+d=LVfBtgMR777+uid=Bo1S62GO3mw1MAG2OFZViy
538,538,[203],199.0,Inner+r=199+d=Pi6R2LPFjYk+uid=CUwFBToUVm5ppPF7ZohmY6,203,Inner+r=199+d=Pi6R2LPFjYk+uid=CUwFBToUVm5ppPF7ZohmY6
544,544,[520],199.0,Inner+r=199+d=Pi4_9BGHkAN+uid=h8JdxpJdo2dCysFzrcDmf,520,Inner+r=199+d=Pi4_9BGHkAN+uid=h8JdxpJdo2dCysFzrcDmf
547,547,[521],199.0,Inner+r=199+d=PdMCQtWIPJC+uid=B3BsNKx4vOW2XuBGU_d2db,521,Inner+r=199+d=PdMCQtWIPJC+uid=B3BsNKx4vOW2XuBGU_d2db
550,550,[489],200.0,Inner+r=200+d=JVNC5DYjShX+uid=C4N42CkcvjhvESz9A3tdus,489,Inner+r=200+d=JVNC5DYjShX+uid=C4N42CkcvjhvESz9A3tdus
