,notebook,replicate,treatment,first rank,population size estimate at first rank,population size upper bound at first rank,population size lower bound at first rank,second rank,population size estimate at second rank,population size upper bound at second rank,population size lower bound at second rank,nonoverlapping CI,Mann-Whitney p,Mann-Whitney significant at alpha = 0.05,Mann-Whitney significant at alpha = 0.01
0,ne-inference,3,range-expansion,33,5.909198681777941,10.095749803356139,2.8336904561798626,100,18.110652317232216,30.941693521690155,8.684761740164003,False,7.507311306473788e-06,True,True
1,ne-inference,3,range-expansion,33,5.909198681777941,10.095749803356139,2.8336904561798626,166,117.84124737319017,201.32945498410234,56.509458559154304,True,9.555901063944659e-09,True,True
2,ne-inference,3,range-expansion,100,18.110652317232216,30.941693521690155,8.684761740164003,33,5.909198681777941,10.095749803356139,2.8336904561798626,False,7.507311306473788e-06,True,True
3,ne-inference,3,range-expansion,100,18.110652317232216,30.941693521690155,8.684761740164003,166,117.84124737319017,201.32945498410234,56.509458559154304,True,0.00421723085822415,True,True
4,ne-inference,3,range-expansion,166,117.84124737319017,201.32945498410234,56.509458559154304,33,5.909198681777941,10.095749803356139,2.8336904561798626,True,9.555901063944659e-09,True,True
5,ne-inference,3,range-expansion,166,117.84124737319017,201.32945498410234,56.509458559154304,100,18.110652317232216,30.941693521690155,8.684761740164003,True,0.00421723085822415,True,True
