,notebook,replicate,treatment,first rank,population size estimate at first rank,population size upper bound at first rank,population size lower bound at first rank,second rank,population size estimate at second rank,population size upper bound at second rank,population size lower bound at second rank,nonoverlapping CI,Mann-Whitney p,Mann-Whitney significant at alpha = 0.05,Mann-Whitney significant at alpha = 0.01
0,ne-inference,7,selection-pressure,33,15.765177323224748,26.93449559440654,7.560015312831532,100,39.801457188349545,68.00000731430265,19.086345789061035,False,0.0020758737131675864,True,True
1,ne-inference,7,selection-pressure,33,15.765177323224748,26.93449559440654,7.560015312831532,166,15.160375881595561,25.901204218669584,7.269989513172217,False,0.8764169287171759,False,False
2,ne-inference,7,selection-pressure,100,39.801457188349545,68.00000731430265,19.086345789061035,33,15.765177323224748,26.93449559440654,7.560015312831532,False,0.0020758737131675864,True,True
3,ne-inference,7,selection-pressure,100,39.801457188349545,68.00000731430265,19.086345789061035,166,15.160375881595561,25.901204218669584,7.269989513172217,False,0.0009249049538011063,True,True
4,ne-inference,7,selection-pressure,166,15.160375881595561,25.901204218669584,7.269989513172217,33,15.765177323224748,26.93449559440654,7.560015312831532,False,0.8764169287171759,False,False
5,ne-inference,7,selection-pressure,166,15.160375881595561,25.901204218669584,7.269989513172217,100,39.801457188349545,68.00000731430265,19.086345789061035,False,0.0009249049538011063,True,True
