,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
132,132,[0],131.0,Inner+r=131+d=P1EJLpN45z_+uid=peiHXa8eL9ZY4Dtb89_Sd,0,Inner+r=131+d=P1EJLpN45z_+uid=peiHXa8eL9ZY4Dtb89_Sd
146,146,[132],138.0,Inner+r=138+d=PYmeBQ-yoaY+uid=CS44ASs_JRPT7QPEnIsNoo,132,Inner+r=138+d=PYmeBQ-yoaY+uid=CS44ASs_JRPT7QPEnIsNoo
173,173,[146],147.0,Inner+r=147+d=Pyc6NVHMq3o+uid=dB9IMI7Jq0VjWg8BUcAcj,146,Inner+r=147+d=Pyc6NVHMq3o+uid=dB9IMI7Jq0VjWg8BUcAcj
198,198,[132],154.0,Inner+r=154+d=PtRGc_DS9LW+uid=v0veSU8YX6wqCZpVOiWpl,132,Inner+r=154+d=PtRGc_DS9LW+uid=v0veSU8YX6wqCZpVOiWpl
212,212,[198],157.0,Inner+r=157+d=PotZsc7l5kf+uid=CchCtqi1JbTxnXtANVlt_e,198,Inner+r=157+d=PotZsc7l5kf+uid=CchCtqi1JbTxnXtANVlt_e
213,213,[198],157.0,Inner+r=157+d=PotZsc7l5kf+uid=Z3i3toOIARUFTu8fO1Waf,198,Inner+r=157+d=PotZsc7l5kf+uid=Z3i3toOIARUFTu8fO1Waf
240,240,[213],161.0,Inner+r=161+d=P03vHDg0hbH+uid=U_n68s03sdK_G7m-o4zyU,213,Inner+r=161+d=P03vHDg0hbH+uid=U_n68s03sdK_G7m-o4zyU
304,304,[240],169.0,Inner+r=169+d=P-BRnTvGa94+uid=DdzDP-FlJDvaTu_42tQzZp,240,Inner+r=169+d=P-BRnTvGa94+uid=DdzDP-FlJDvaTu_42tQzZp
348,348,[304],174.0,Inner+r=174+d=P9UxQNW_T5U+uid=Czz7cQ58eZnJ0XP1ti6Mec,304,Inner+r=174+d=P9UxQNW_T5U+uid=Czz7cQ58eZnJ0XP1ti6Mec
444,444,[212],184.0,Inner+r=184+d=PL1_t3y6ysa+uid=r6JP0VrMFdNYXKt9lTUea,212,Inner+r=184+d=PL1_t3y6ysa+uid=r6JP0VrMFdNYXKt9lTUea
470,470,[348],186.0,Inner+r=186+d=PWSfX_9q1SR+uid=BBLLNO8mBPUhsRdPrTdl5t,348,Inner+r=186+d=PWSfX_9q1SR+uid=BBLLNO8mBPUhsRdPrTdl5t
481,481,[470],187.0,Inner+r=187+d=P8RFD7AkwC2+uid=DPlUQtZYQisnbk9-8EzzrF,470,Inner+r=187+d=P8RFD7AkwC2+uid=DPlUQtZYQisnbk9-8EzzrF
525,525,[173],190.0,Inner+r=190+d=Me59SAYdhE7+uid=HxhRIdaOuGBnkg5Ph__jT,173,Inner+r=190+d=Me59SAYdhE7+uid=HxhRIdaOuGBnkg5Ph__jT
570,570,[444],194.0,Inner+r=194+d=NUQJNmJq11p+uid=7tC2dZlMdrzjZQx8YYQyf,444,Inner+r=194+d=NUQJNmJq11p+uid=7tC2dZlMdrzjZQx8YYQyf
572,572,[240],194.0,Inner+r=194+d=OIK2udGOzEy+uid=Dq9cAzpc2V5xzz0Xl-B1Dq,240,Inner+r=194+d=OIK2udGOzEy+uid=Dq9cAzpc2V5xzz0Xl-B1Dq
599,599,[444],196.0,Inner+r=196+d=M_-l2BoAK6p+uid=Cv2-nSfr0OBVAfxvQ9Bh95,444,Inner+r=196+d=M_-l2BoAK6p+uid=Cv2-nSfr0OBVAfxvQ9Bh95
610,610,[213],196.0,Inner+r=196+d=PI_mPBoRWaE+uid=DXZRlPbMGurxgUNyJNwjKm,213,Inner+r=196+d=PI_mPBoRWaE+uid=DXZRlPbMGurxgUNyJNwjKm
611,611,[146],196.0,Inner+r=196+d=Di9nd7YVSao+uid=DwZd9KQgcVimm0jA7_awRG,146,Inner+r=196+d=Di9nd7YVSao+uid=DwZd9KQgcVimm0jA7_awRG
