,id,ancestor_list,origin_time,taxon_label,ancestor_id,name
0,0,[none],0.0,Root,0,Root
101,101,[0],100.0,Inner+r=100+d=P4m2NxJ8C8U+uid=oLuC8BKG95EgGqoHmUVC1,0,Inner+r=100+d=P4m2NxJ8C8U+uid=oLuC8BKG95EgGqoHmUVC1
191,191,[101],145.0,Inner+r=145+d=O7SWyib_sVD+uid=DsnAw5_Uk802ruW3XCPOg,101,Inner+r=145+d=O7SWyib_sVD+uid=DsnAw5_Uk802ruW3XCPOg
197,197,[191],147.0,Inner+r=147+d=N3D3K58fwyb+uid=Du8ghFCvXo0iEBPu_XMyMK,191,Inner+r=147+d=N3D3K58fwyb+uid=Du8ghFCvXo0iEBPu_XMyMK
198,198,[191],147.0,Inner+r=147+d=N3D3K58fwyb+uid=CZJ6j9du4pqk6w_3RnDyE0,191,Inner+r=147+d=N3D3K58fwyb+uid=CZJ6j9du4pqk6w_3RnDyE0
470,470,[101],193.0,Inner+r=193+d=Px_sqfnpPpr+uid=Dknfa7gDr1BlE2v2KHWP9N,101,Inner+r=193+d=Px_sqfnpPpr+uid=Dknfa7gDr1BlE2v2KHWP9N
483,483,[470],195.0,Inner+r=195+d=N5podCXwJs2+uid=5yXqxuz54D6OcxLKvv1MQ,470,Inner+r=195+d=N5podCXwJs2+uid=5yXqxuz54D6OcxLKvv1MQ
484,484,[470],195.0,Inner+r=195+d=N5podCXwJs2+uid=H4w8RBWKHSJQ-wlpwU26b,470,Inner+r=195+d=N5podCXwJs2+uid=H4w8RBWKHSJQ-wlpwU26b
490,490,[483],196.0,Inner+r=196+d=NFVFjd9g3KP+uid=Cv2-nSfr0OBVAfxvQ9Bh95,483,Inner+r=196+d=NFVFjd9g3KP+uid=Cv2-nSfr0OBVAfxvQ9Bh95
491,491,[483],196.0,Inner+r=196+d=PfZcElIgfd-+uid=C4N42CkcvjhvESz9A3tdus,483,Inner+r=196+d=PfZcElIgfd-+uid=C4N42CkcvjhvESz9A3tdus
492,492,[483],196.0,Inner+r=196+d=OIJI718Zu4b+uid=Dq9cAzpc2V5xzz0Xl-B1Dq,483,Inner+r=196+d=OIJI718Zu4b+uid=Dq9cAzpc2V5xzz0Xl-B1Dq
500,500,[490],197.0,Inner+r=197+d=O8snC-clQIe+uid=C2fRU9OZ2rPPTfyaV6lGYC,490,Inner+r=197+d=O8snC-clQIe+uid=C2fRU9OZ2rPPTfyaV6lGYC
501,501,[490],197.0,Inner+r=197+d=P9JmGhl4xms+uid=BeYnnb4J7dWqUxn0eC_jpK,490,Inner+r=197+d=P9JmGhl4xms+uid=BeYnnb4J7dWqUxn0eC_jpK
502,502,[491],197.0,Inner+r=197+d=P9JmGhl4xms+uid=B-ugNSDViaWMhCwZrB--lM,491,Inner+r=197+d=P9JmGhl4xms+uid=B-ugNSDViaWMhCwZrB--lM
503,503,[491],197.0,Inner+r=197+d=O8snC-clQIe+uid=CshZ-P9waoMkvhskiLl-9F,491,Inner+r=197+d=O8snC-clQIe+uid=CshZ-P9waoMkvhskiLl-9F
504,504,[492],197.0,Inner+r=197+d=O8snC-clQIe+uid=COkD_ZNDO2DGHkBqZgp6e3,492,Inner+r=197+d=O8snC-clQIe+uid=COkD_ZNDO2DGHkBqZgp6e3
505,505,[492],197.0,Inner+r=197+d=P9JmGhl4xms+uid=Syy8_xHrdyS2bTyLYpQY2,492,Inner+r=197+d=P9JmGhl4xms+uid=Syy8_xHrdyS2bTyLYpQY2
511,511,[198],197.0,Inner+r=197+d=Peol1lQmlbO+uid=5m2yZQaf7X7LG-9Aj3rao,198,Inner+r=197+d=Peol1lQmlbO+uid=5m2yZQaf7X7LG-9Aj3rao
